                time                Date            Rainfall       Inifiltration          Runoff@end        WaterStorage       LeftDischarge      RightDischarge
  44662.5417  04/11/2022        0.0000       26.5572        0.0000        0.0000        0.0000        0.0000
  44662.5833  04/11/2022        0.0000       26.1116        0.0000        0.0000        0.0000        0.0000
  44662.6250  04/11/2022        0.0000       26.1570        0.0000        0.0000        0.0000        0.0000
  44662.6667  04/11/2022        0.0000       26.4318        0.0000        0.0000        0.0000        0.0000
  44662.7083  04/11/2022        0.0000       26.8758        0.0000        0.0000        0.0000        0.0000
  44662.7500  04/11/2022        0.0000       27.3573        0.0000        0.0000        0.0000        0.0000
  44662.7917  04/11/2022        0.0000       29.9319        0.0000        0.0000        0.0000        0.0000
  44662.8333  04/11/2022        0.0000       30.2027        0.0000        0.0000        0.0000        0.0000
  44662.8750  04/11/2022        0.0000       30.4153        0.0000        0.0000        0.0000        0.0000
  44662.9167  04/11/2022        0.0000       30.2428        0.0000        0.0000        0.0000        0.0000
  44662.9583  04/11/2022        0.0000       30.2569        0.0000        0.0000        0.0000        0.0000
  44663.0000  04/12/2022        0.0000       30.2726        0.0000        0.0000        0.0000        0.0000
  44663.0417  04/12/2022        0.0000       30.3235        0.0000        0.0000        0.0000        0.0000
  44663.0833  04/12/2022        0.0000       30.5245        0.0000        0.0000        0.0000        0.0000
  44663.1250  04/12/2022        0.0000       30.5370        0.0000        0.0000        0.0000        0.0000
  44663.1667  04/12/2022        0.0000       30.5494        0.0000        0.0000        0.0000        0.0000
  44663.2083  04/12/2022        0.0000       30.5563        0.0000        0.0000        0.0000        0.0000
  44663.2500  04/12/2022        0.0000       30.5631        0.0000        0.0000        0.0000        0.0000
  44663.2917  04/12/2022        0.0000       30.5646        0.0000        0.0000        0.0000        0.0000
  44663.3333  04/12/2022        0.0000       30.3888        0.0000        0.0000        0.0000        0.0000
  44663.3750  04/12/2022        0.0000       29.6528        0.0000        0.0000        0.0000        0.0000
  44663.4167  04/12/2022        0.0000       27.6991        0.0000        0.0000        0.0000        0.0000
  44663.4583  04/12/2022        0.0000       27.1221        0.0000        0.0000        0.0000        0.0000
  44663.5000  04/12/2022        0.0000       26.6347        0.0000        0.0000        0.0000        0.0000
  44663.5417  04/12/2022        0.0000       25.8685        0.0000        0.0000        0.0000        0.0000
  44663.5833  04/12/2022        0.0000       24.0195        0.0000        0.0000        0.0000        0.0000
  44663.6250  04/12/2022        0.0000       26.2218        0.0000        0.0000        0.0000        0.0000
  44663.6667  04/12/2022        0.0000       27.0381        0.0000        0.0000        0.0000        0.0000
  44663.7083  04/12/2022        0.0000       27.3581        0.0000        0.0000        0.0000        0.0000
  44663.7500  04/12/2022        0.0000       29.7030        0.0000        0.0000        0.0000        0.0000
  44663.7917  04/12/2022        0.0000       30.3177        0.0000        0.0000        0.0000        0.0000
  44663.8333  04/12/2022        0.0000       30.5147        0.0000        0.0000        0.0000        0.0000
  44663.8750  04/12/2022        0.0000       30.5306        0.0000        0.0000        0.0000        0.0000
  44663.9167  04/12/2022        0.0000       30.5469        0.0000        0.0000        0.0000        0.0000
  44663.9583  04/12/2022        0.0000       30.5648        0.0000        0.0000        0.0000        0.0000
  44664.0000  04/13/2022        0.0000       30.5816        0.0000        0.0000        0.0000        0.0000
  44664.0417  04/13/2022        0.0000       30.5604        0.0000        0.0000        0.0000        0.0000
  44664.0833  04/13/2022        0.0000       30.5758        0.0000        0.0000        0.0000        0.0000
  44664.1250  04/13/2022        0.0000       30.5823        0.0000        0.0000        0.0000        0.0000
